;"ï»¿""idsbr""";nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;status_perusahaan;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;latitude;longitude;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;cleaned_nama_usaha;cleaned_alamat;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc_recode;flag_shadow;is_perorangan;is_kurung
10;233716;KOP. MUJARAT TAKA;Basui, Batu Sopang;6401010010;64;1;10;10;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;eyJpdiI6IkVxRnJNcmNWRUVFN3JGRkxqUnZNY2c9PSIsInZhbHVlIjoieDhWTWpaSm50Zy95NTZaU2dBUFVVdz09IiwibWFjIjoiNjRjMDlkNmQ5MDc0MzgxMDNlYjM4MzgwNjBlZmQzM2I1YTEzMDUzYTdmYjc1OTc0MGQ4MjAwOGU1NzMyZTFhMiIsInRhZyI6IiJ9;Aktif;;;;;2025-12-04;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;mujarat taka;basui batu sopang;0;0;4;;;;0;mujarat taka basui batu sopang kbli00;1;0;1;0
11;233726;KOP. KARYA TANI;Teluk Waru, Long Ikis;6401060007;64;1;60;7;KALIMANTAN TIMUR;PASER;LONG IKIS;TELUK WARU;eyJpdiI6ImpvRlQzV0lrbXNEdHp3ZFRRakRtL1E9PSIsInZhbHVlIjoiL2VRZ1lreWtBUEo0bzNYcG5XT2pNUT09IiwibWFjIjoiZGVhMzUzMTg5NWJlYjlmODZmYTQzZGVkNjQwM2FkNmI3MzFlZDNjY2MyZjY1YThkMjQ4NjVhNzEyMzA1MzQ4MSIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-21;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;karya tani;teluk waru long ikis;0;0;4;;;;0;karya tani teluk waru long ikis kbli00;99;0;1;0
12;233731;KUD SETIA KAWAN;Krayan Abadi, Long Ikis;6401060;64;1;60;;KALIMANTAN TIMUR;PASER;LONG IKIS;;eyJpdiI6IlJxUjhhYVBGcjZQRW9ZN0FQcW9EL0E9PSIsInZhbHVlIjoiM3I2dlhzMmdMNzVtYmdTb3lSYm01QT09IiwibWFjIjoiNTVjZDVmZDY1MjljMzIwNTMzMjRmYjE4ODE0YzI3MGNjZmIxNzIxOGJiYzQ2NzRjZWE4ZGE2NTA1YjAyN2Q4YiIsInRhZyI6IiJ9;Tutup Sementara;;[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141];;;2025-01-31;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud setia kawan;krayan abadi long ikis;0;0;4;;;;64;kud setia kawan krayan abadi long ikis kbli64;3;0;1;0
13;233733;KUD BINA USAHA;Krayan Sejahtera, Long Ikis;6401060;64;1;60;;KALIMANTAN TIMUR;PASER;LONG IKIS;;eyJpdiI6IlUxQm1UZjNuM25lNkRkTFYvdCs2YlE9PSIsInZhbHVlIjoib2UrS0ZJSUxSV2Q2cU1KNStYYXZJQT09IiwibWFjIjoiNTg1MDkwNjk4MDk3Njk2NWY5NGE5YjRjNDU3NjU4YjFhNzNkODEyNDA1YmNiYTQ1NTRmYWQzN2ExMzJmM2ZkZSIsInRhZyI6IiJ9;Tutup Sementara;;[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141];;;2025-01-31;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud bina usaha;krayan sejahtera long ikis;0;0;4;;;;64;kud bina usaha krayan sejahtera long ikis kbli64;3;0;1;0
14;233739;KUD LESTARI ABADI;Sekaurau Jaya/Pait III, Long Ikis;6401060;64;1;60;;KALIMANTAN TIMUR;PASER;LONG IKIS;;eyJpdiI6IlBGOXR3clQzbXByME1UOExlblhiUVE9PSIsInZhbHVlIjoiTnpaS1M4UzM4TXdBMnRFZFpKbE1qQT09IiwibWFjIjoiY2IzZGQ0Zjc2NWY3Yjg0ZTQ5MDFlNWU3MDc0MDVjNGZkMmU2OWJjMWY2MzdlMDFkY2VjODAxM2RhZjY1ZTYyMyIsInRhZyI6IiJ9;Tidak Ditemukan;;[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141];;;2025-10-26;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud lestari abadi;sekaurau jaya pait iii long ikis;0;0;4;;;;64;kud lestari abadi sekaurau jaya pait iii long ikis kbli64;99;0;1;0
15;233746;KOP. BINA TAKA;Mendik Karya, Long Kali;6401080011;64;1;80;11;KALIMANTAN TIMUR;PASER;LONG KALI;MENDIK KARYA;eyJpdiI6IjY2K0VueGVXTFNGdEd4Qm16LzNYSEE9PSIsInZhbHVlIjoiMndqZWMwR1dNZ1hoUkRtejRmOEpRUT09IiwibWFjIjoiNTVjY2Y3OTNhZDliYWZlZGZmZTM2ZGY2MzdiOGU4NGY4ZTgxMWRkMzU2ZDBhMTYzMjI2NDE5MDYxMDM3MDQwMiIsInRhZyI6IiJ9;Tutup;;[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141];;;2025-01-21;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;bina taka;mendik karya long kali;0;0;4;;;;64;bina taka mendik karya long kali kbli64;3;0;1;0
16;233747;KOP. PANCA KARYA;Sukaraja, Long Kali;6401040;64;1;40;;KALIMANTAN TIMUR;PASER;TANAH GROGOT;;eyJpdiI6IkM5RUNuV0FNK2hVc016L1JoNUJ4T2c9PSIsInZhbHVlIjoiWWFZM0ljOUVVbHlpVGVQZXFSQ3FHZz09IiwibWFjIjoiNmY5MjhhMmQ5ZjdmNzU4MTdhNjk1NWRhOWZmODU2MGE3NzhjMTZiMWRlZTE5MTg4MDRiM2I0MDQ1NTYxNjFlZSIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;panca karya;sukaraja long kali;0;0;4;;;;0;panca karya sukaraja long kali kbli00;99;0;1;0
17;233759;KOP. MITRA TANI;Muara Komam, Muara Komam;6401070002;64;1;70;2;KALIMANTAN TIMUR;PASER;MUARA KOMAM;MUARA KOMAM;eyJpdiI6Iml5dUN0MGlSSDJZQjYvSmhCWkZGK2c9PSIsInZhbHVlIjoianF2L2pKNXNYRXZWdG9MRzZUc2VXdz09IiwibWFjIjoiY2QzZWM1MTU0OTljOWEzMTAwYjc0NGI5NWNlZGIxMjg2NGI0OWYyNjU4NDYxYTdkNmEwMjA0Nzg3MmEyOTY4OSIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;mitra tani;muara komam muara komam;0;0;4;;;;0;mitra tani muara komam muara komam kbli00;99;0;1;0
18;233763;KOPKAR EMPU TARA;Long Pinang, P. Blengkong;6401030013;64;1;30;13;KALIMANTAN TIMUR;PASER;PASIR BELENGKONG;OLONG PINANG;eyJpdiI6IkxXNkVMaVRHMlZzT0Z4cVQyYjd3TUE9PSIsInZhbHVlIjoicmN3WHhCa0JPMDUzMGVPN1dtYWVzUT09IiwibWFjIjoiODY3MWNjZjI3ZTZkZmZiZTUzMGMyNzc2M2Y5NDIzYWY0Yzg5MGM4MzY5NGFkMGZmMGM0NzExZjY3Mjg3ZWI3MiIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kopkar empu tara;long pinang p blengkong;0;0;4;;;;0;kopkar empu tara long pinang p blengkong kbli00;99;0;1;0
19;233760;KSU KEL. MASY. SEJAHTERA;Lusan, Muara Komam;6401070002;64;1;70;2;KALIMANTAN TIMUR;PASER;MUARA KOMAM;MUARA KOMAM;eyJpdiI6IjMzdmJqNTY1K2F5a0J4SUlFek5OOUE9PSIsInZhbHVlIjoiMVkyYm1aTFZmd2hYMUh3S0VDMDhXUT09IiwibWFjIjoiYzQ2N2JkZmQxZDNlMDFkNDQ5NjBhMjFhNmZiMDRiNjM5ZmRmZTMwNDk2MzNkMmJiZWRkYTg2OWVmNTdlYWU3ZCIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-15;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;ksu kel masy sejahtera;lusan muara komam;0;0;4;;;;0;ksu kel masy sejahtera lusan muara komam kbli00;99;0;1;0
20;233762;KUD HARUNA;Muara Komam, Muara Komam;6401070005;64;1;70;5;KALIMANTAN TIMUR;PASER;MUARA KOMAM;MUARA KUARO;eyJpdiI6Ii9NZDhCWHpIYjdUSkNWQWlnOStueEE9PSIsInZhbHVlIjoiSGQ3Rnl2cDRUVVlvRTc3ZHJTSGM5dz09IiwibWFjIjoiMDBhYmVkZmU4NTg0OTE2ZjYxNzQwYTU4YTEwMTkxMWNhMmIxOTAxMWZmM2VmODUyOTBkZmRhY2YyYWFmOThmZCIsInRhZyI6IiJ9;Tidak Ditemukan;;;;;2025-12-21;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;kud haruna;muara komam muara komam;0;0;4;;;;0;kud haruna muara komam muara komam kbli00;99;0;1;0
22;94436926;PT. POS INDONESIA, Kantor Pos Cabang Luar Kota Longikis;DESA PAIT;6401060026;64;1;60;26;KALIMANTAN TIMUR;PASER;LONG IKIS;ATANG PAIT;eyJpdiI6ImxzajRKL0kvWmpEVWVKUmEvbGorNGc9PSIsInZhbHVlIjoiMm5ETkxVYkxnTVZ6SWJuYUVrdWFQdz09IiwibWFjIjoiMzk2MDY4OGNhYTBkNDJjMjQ0NGUzNTkyMWNhYjFjM2I5MjQ5ZWQ3N2ExMjQzODYzYjNkYWEzNmYxNmVkYzM5ZSIsInRhZyI6IiJ9;Aktif;;"[Kegiatan Usaha: Kantor Cabang, Kategori: M, KBLI: 70100]; [Kegiatan Usaha: Jasa kurir dan logistik,...";;;2025-10-26;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;pos indonesia kantor pos luar kota longikis;desa pait;0;0;4;;;;70;pos indonesia kantor pos luar kota longikis desa pait kbli70;1;0;0;0
23;94660208;PT Perkebunan Nusantara XIII (Persero), Proyek Pabrik Minyak Sawit Lembah Batu;desa Lombok;6401060002;64;1;60;2;KALIMANTAN TIMUR;PASER;LONG IKIS;LOMBOK;eyJpdiI6IjFGWUpKTTY1ZDJvdlVnaC9oTjBLbHc9PSIsInZhbHVlIjoiTHBsWWQzWXpPMXJaUlA2ZWxHR0NPQT09IiwibWFjIjoiZTJhYTQ0MDJlYWY1OTI2NjJjYzA3Mzc3NjZlMzQ2NDE0OGExMmQ1MDVmZDhjZDRhODE2Y2U4ZGJmOTg1NWQyOSIsInRhZyI6IiJ9;Tutup;;[Kegiatan Usaha: Industri Minyakan Makan Kelapa Sawit, Kategori: C, KBLI: 10431];;;2025-12-21;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;perkebunan nusantara xiii persero proyek pabrik minyak sawit lembah batu;desa lombok;0;0;4;;;;10;perkebunan nusantara xiii persero proyek pabrik minyak sawit lembah batu desa lombok kbli10;3;0;0;0
24;97334106;PADAIDI, CV;JL PROVINSI KERANG;6401021001;64;1;21;1;KALIMANTAN TIMUR;PASER;BATU ENGAU;KERANG;eyJpdiI6IlVZbkNMd0lDbmtpclcwNXB1ZUd5SUE9PSIsInZhbHVlIjoid3hQMHRpZ1pCcVpYRzBPTWQrZmE3UT09IiwibWFjIjoiN2Y3ZmFlMmIyMmI0YjlhZGY5YTU1MDc2MzQ4ZTM2NDEzMjU3MjU2NzQyY2Q2MGZhZTBmY2FhNGU5NWQ5NWM2OSIsInRhZyI6IiJ9;Tidak Ditemukan;;[Kegiatan Usaha: KONSTRUKSI BANGUNAN, Kategori: F, KBLI: 42930];;;2025-11-10;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;padaidi;jl provinsi kerang;0;0;4;;;;42;padaidi jl provinsi kerang kbli42;99;0;1;0
25;97341418;MAS BINA ISLAM;JL. KH. AGUS SALIM;6401040005;64;1;40;5;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH PERIUK;eyJpdiI6Im9mY0dMY0VOWFlyMVYzc2hFdysrakE9PSIsInZhbHVlIjoiMGlUbjFHREhtZkZRSFFlaGFQUzhyQT09IiwibWFjIjoiOWU5MjMzN2M2ZWRjMTc3ZDRhODBlZTVmZDRjMzU3YzM1YjlhMTFkNGVlOTJhZDU1NmZiNDMzOTg1MTAyMGQ2MSIsInRhZyI6IiJ9;Duplikat;;[Kegiatan Usaha: Sekolah, Kategori: P, KBLI: 85220];;;2025-11-10;UMKM;;-1.904825;116.3708710;valid;;;FALSE;FALSE;FALSE;;;invalid;;;;mas bina islam;jl kh agus salim;0;0;4;;;;85;mas bina islam jl kh agus salim kbli85;4;0;1;0
26;97341421;MADRASAH IBTIDAIYAH AS`ADIYAH;JL. NEGARA RT.02 No.19;6401040005;64;1;40;5;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH PERIUK;eyJpdiI6InVIdHBvd3MvM3BwcXYrWXRtRHFDTkE9PSIsInZhbHVlIjoiNmhtWU9kWUQ5YjNZRGd4WHZNL3pKUT09IiwibWFjIjoiNmJjNTc5ZDllMzNmNjdkMTc3ZjAxMDRmNzdjZjA5NTNhM2RjY2JjM2Y2NTk2YTRjMjc0ZmY1NmUyMzczMmJhNyIsInRhZyI6IiJ9;Aktif;;[Kegiatan Usaha: -, Kategori: P, KBLI: 85121];;;2025-06-27;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;madrasah ibtidaiyah as adiyah;jl negara rt 02 no 19;0;0;4;;;;85;madrasah ibtidaiyah as adiyah jl negara rt 02 no 19 kbli85;1;0;1;0
27;97341413;MAHKOTA KALIMANTAN PERKASA,CV;JALAN DESA TAPIS;6401040015;64;1;40;15;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TAPIS;eyJpdiI6ImZCNjJoMjkySDdLdlM5V0VvTGlJNHc9PSIsInZhbHVlIjoiVk9xQVpTblFEaE84UlY1VUtTMElaUT09IiwibWFjIjoiNTljNzY1OWE4MGNjZDE2NGY3ZTAzMGZhNTA5MmI1ZDNiN2U3MzFkNWI1NGI3NzQxZGE5OTQyYmFkNDdiYmIwYSIsInRhZyI6IiJ9;Aktif;;[Kegiatan Usaha: -, Kategori: L, KBLI: 68111];;;2025-12-15;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;mahkota kalimantan perkasa;jalan desa tapis;0;0;4;;;;68;mahkota kalimantan perkasa jalan desa tapis kbli68;1;0;1;0
28;97341416;TK PERMATA IBU;GANG POROS 2;6401040011;64;1;40;11;KALIMANTAN TIMUR;PASER;TANAH GROGOT;MUARA PASIR;eyJpdiI6IlVuU1VFYktkcUpvdjhKM0VOdTdib1E9PSIsInZhbHVlIjoiSVY5TEw5U0xrNk9Oci9IQ3Exb2kyZz09IiwibWFjIjoiMWI2MjcwYmRkNzFkMDUwNGE4MTAxZTBhNWRlMmUwZGM5NGMyMWVkNDQ4OWQxNDE3MTlhZGUyNzA2ZWI0ZmM3MCIsInRhZyI6IiJ9;Aktif;;[Kegiatan Usaha: -, Kategori: P, KBLI: 85132];;;2025-11-16;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;tk permata ibu;gang poros 2;0;0;4;;;;85;tk permata ibu gang poros 2 kbli85;1;0;1;0
29;97341417;SDN 006 TANAH GROGOT;MUARA PASIR;6401040011;64;1;40;11;KALIMANTAN TIMUR;PASER;TANAH GROGOT;MUARA PASIR;eyJpdiI6InRXbm10b1k5bnZLYTJtM29DbmNhVnc9PSIsInZhbHVlIjoieVVsa1RsM2NZcjF0ZG0xMHBBSHNDdz09IiwibWFjIjoiYmUzYTczNzcwMDkxZTkwODhhODIyNWRhNGQ4MTI2MDY3NGY3MTYxNDY1NzZhNGVkZDE4ODgzMGU2M2E1YjlkNiIsInRhZyI6IiJ9;Aktif;;[Kegiatan Usaha: -, Kategori: P, KBLI: 85111];;;2025-06-27;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;sdn 006 tanah grogot;muara pasir;0;0;4;;;;85;sdn 006 tanah grogot muara pasir kbli85;1;0;1;0
30;97341425;AGEN GAS LPG (USMAN);DESA TANAH PERIUK;6401040005;64;1;40;5;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH PERIUK;eyJpdiI6InRpR2pNWk0vWThkSC9TZjcrYk05WEE9PSIsInZhbHVlIjoidW4wWUVZN25PYW50TCtjdkwzd0Jndz09IiwibWFjIjoiMzY0YTExMTA2MzRjNjJmMDU3YzAyMDE2OTM0MjUyY2EyMzM0ZjYxZWRhYmEyYThkZTc3ODhjZWM3MzA3Y2EwYyIsInRhZyI6IiJ9;Aktif;;[Kegiatan Usaha: -, Kategori: G, KBLI: 47772];;;2025-12-15;UMKM;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;agen gas lpg usman;desa tanah periuk;0;0;4;;;;47;agen gas lpg usman desa tanah periuk kbli47;1;0;1;0
31;97341431;STIT <KAMPUS>;DESA TANAH PERIUK;6401040005;64;1;40;5;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH PERIUK;eyJpdiI6IlhTU0Mrd0V2VEh5S1pWZ2NpSzAzdkE9PSIsInZhbHVlIjoiRENRS2xvY2tKdDR0Z0dGdWNXWXYrZz09IiwibWFjIjoiZjBjNTk1NDYwOGMwOGZjM2E0MjJiNTJkZmExMWNmNmI5NTcxMDQwMTExM2Y5ZjlmODgyMmM5ZmZmM2NiM2JhYiIsInRhZyI6IiJ9;Duplikat;;[Kegiatan Usaha: PERGURUAN TINGGI SWASTA, Kategori: P, KBLI: 85322];;;2025-11-01;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;stit kampus;desa tanah periuk;0;0;4;;;;85;stit kampus desa tanah periuk kbli85;4;0;1;1
