"idsbr";"nama_usaha";"alamat_usaha";"kode_wilayah";"kdprov";"kdkab";"kdkec";"kddesa";"nmprov";"nmkab";"nmkec";"nmdesa";"perusahaan_id";"status_perusahaan";"skor_kalo";"kegiatan_usaha";"rank_nama";"rank_alamat";"history_ref_profiling_id";"skala_usaha";"sumber_data";"latitude";"longitude";"latlong_status";"gcid";"gcs_result";"allow_cancel";"allow_edit";"allow_flagging";"latitude_gc";"longitude_gc";"latlong_status_gc";"gc_username";"nama_usaha_gc";"alamat_usaha_gc"
"233739";"KUD LESTARI ABADI";"Sekaurau Jaya/Pait III, Long Ikis";"6401060";"64";"01";"060";"";"KALIMANTAN TIMUR";"PASER";"LONG IKIS";"";"eyJpdiI6Im9hVm1MTDJxZlJsQ05DS3hCMzFPUEE9PSIsInZhbHVlIjoiYWhBKzVRbkpCbmcvRzFrNDRieWNOQT09IiwibWFjIjoiNzc2MTJjYzZkNDQ5YzU3YjU5ODAwZTIxMmM5MGM4ZmYxZmNmY2UyMGYwMWE4M2E2YjFlOGQ4ZGVhZjFlYjlkOCIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141]";"";"";"2025-10-26";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233746";"KOP. BINA TAKA";"Mendik Karya, Long Kali";"6401080011";"64";"01";"080";"011";"KALIMANTAN TIMUR";"PASER";"LONG KALI";"MENDIK KARYA";"eyJpdiI6Ik9DTG5VZjl2OHVWZENBUmVhcEpmTWc9PSIsInZhbHVlIjoiNGRqajRiZVhGcVM3MFdqajhhSXJ5dz09IiwibWFjIjoiYTY2YjhmMzAyYWNjM2RjOTkwZTFkNzllYTNkMzAxYTRiYjdlYWVjYmFiZmRiMTRmMGMzODRkMTNlYWIyNzI5MSIsInRhZyI6IiJ9";"Tutup";"";"[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141]";"";"";"2025-01-21";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233747";"KOP. PANCA KARYA";"Sukaraja, Long Kali";"6401040";"64";"01";"040";"";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"";"eyJpdiI6ImExK2xlSVAxaWhzMi9kK2VvK2lwVnc9PSIsInZhbHVlIjoidVpvWHBUN3k1bUwxdU43aHNFSkR4Zz09IiwibWFjIjoiNWM2ZmQyZTNkNGFkZGEwNTZlNjA2MDdlOGZlZGI5YTI4MDFlYzA4OGMzZDdkNTlhNDdmM2NlOGNkZDk0OWJhNCIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233763";"KOPKAR EMPU TARA";"Long Pinang, P. Blengkong";"6401030013";"64";"01";"030";"013";"KALIMANTAN TIMUR";"PASER";"PASIR BELENGKONG";"OLONG PINANG";"eyJpdiI6IjJqZnN5bGRrRTEvQ3NRSndwR0ZZcHc9PSIsInZhbHVlIjoidWRLd1FNUm1zdkhEWXVoWVhnZ1V0Zz09IiwibWFjIjoiZWFlZjliY2I4M2NkMGM2NTUyM2M4YzJiYjYwYTkxYjQ3NzhjMGNlZGY0YzIwOWJkZjRmZjU3NjM0NThkZDYzMCIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233760";"KSU KEL. MASY. SEJAHTERA";"Lusan, Muara Komam";"6401070002";"64";"01";"070";"002";"KALIMANTAN TIMUR";"PASER";"MUARA KOMAM";"MUARA KOMAM";"eyJpdiI6Ikp0QTd6RHp2cVVwN29MVGNNK3J5MEE9PSIsInZhbHVlIjoiekg1enBGMXlTWHVOdzVBUUNEdjdoZz09IiwibWFjIjoiNGM4NTBjNzM4YTY4ZTNiMjc1NGExODAxZjIzNzZiZmE3NTI0ODQzNzNhYzA3NmE4YTMzODM3MDMxYTUxOTZhMSIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233762";"KUD HARUNA";"Muara Komam, Muara Komam";"6401070005";"64";"01";"070";"005";"KALIMANTAN TIMUR";"PASER";"MUARA KOMAM";"MUARA KUARO";"eyJpdiI6Ii9ZS1F0V0pkU0hvTk5JWDJKdG9SK1E9PSIsInZhbHVlIjoiSkhMS1F1SGdKV1NUWVh3ckNPRGVwdz09IiwibWFjIjoiYWQ4NTRkNDVlNjBlYjA5Y2UxNTRiNWEzMzU0ZWQ4NjNmMTVlOWFmN2RkZmFhNmVhNDU5NGIyZDdhNTY0YjlkMyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-21";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233759";"KOP. MITRA TANI";"Muara Komam, Muara Komam";"6401070002";"64";"01";"070";"002";"KALIMANTAN TIMUR";"PASER";"MUARA KOMAM";"MUARA KOMAM";"eyJpdiI6ImhGR2VHSDNLT2Q3WXFqY2tCdkFYUHc9PSIsInZhbHVlIjoidFhWbEhPekdUL0RWSDlEcTJBYTlGZz09IiwibWFjIjoiZTYyZGY2OTE5MGE5YTU4ZjJlNjZiYjNlODVlYTRlM2Q2ZWE0ZWRjYTJjOTMxYzE4NGY5YzcyYmM5M2UwZDA0NSIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233773";"KUD KARYA MUKTI";"Labuhan Batu/PIR P. Klato 3, P. Blengkong";"6401030011";"64";"01";"030";"011";"KALIMANTAN TIMUR";"PASER";"PASIR BELENGKONG";"LABURAN BARU";"eyJpdiI6IkRMQldaMmo0YW83cGVoU210L3FndlE9PSIsInZhbHVlIjoiZ2UrdXBDZVFkSVNreHVucFR5M0x1QT09IiwibWFjIjoiOTc3OTdhZGI4ZDk1ODU5ZWU5YTI0MjkxYjI5YTY3NmI2YmM2ZWIzZGMyYjJkNzZjMjZhNzMwZmUyODAwMTQ0NyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233770";"KOP. SEJAHTERA";"Laburan, P. Blengkong";"6401030";"64";"01";"030";"";"KALIMANTAN TIMUR";"PASER";"PASIR BELENGKONG";"";"eyJpdiI6ImVaajRVSkppZFk4VDdRdHNjTVNKS0E9PSIsInZhbHVlIjoidmNBZWpLT3RVdjRhNEFVZEZaWWIwZz09IiwibWFjIjoiNTRjMGUwYjBjYjMxODA2ZGIxMGQ2NDEwMzJiMWUzZWNjMGQxZWIwZWUxM2Y5YTRiZmYxZDA1MTVkOTcyZTExYiIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233771";"KOP. MITRA SEJAHTERA";"Suatang Baru, P. Blengkong";"6401030015";"64";"01";"030";"015";"KALIMANTAN TIMUR";"PASER";"PASIR BELENGKONG";"SUATANG KETEBAN";"eyJpdiI6IlRueWdlaHpRUitmdDVMQjh6aHNuZEE9PSIsInZhbHVlIjoieWJqclNHN0N3Vlg0cGs5MDE1SC9Edz09IiwibWFjIjoiNTY2MDNiMTgwOTA0ZDUwYWIxZTBmNjBjYjQ2MzgyYzQ4ODVjODYzNWI2Y2U1MGUwMTE4OTFkMGUzZTRiYWI0MCIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233797";"KPN KOKARDIP";"jl kusuma bangsa";"6401040003";"64";"01";"040";"003";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TEPIAN BATANG";"eyJpdiI6InFPa1dTblpCb010cnQwSXVaY2c2b0E9PSIsInZhbHVlIjoiWFUrT2d1cnplSEFzSlpSYVhES0J0dz09IiwibWFjIjoiNzRkZWIyN2U1ZjNlYWJhZGU1MDE5ZjY3M2M3OTYwMWM4NjcwYzBmZmFhMzIzYjhkNTU1NTg5YWI4OWVmNzllZCIsInRhZyI6IiJ9";"Aktif";"";"";"";"";"2025-01-07";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233792";"KOP. SEMANGAT BARU";"Pepara, Tanah Grogot";"6401040006";"64";"01";"040";"006";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"PEPARA";"eyJpdiI6IlQ4THk3dVJydkpuOUdmZ09VTWJtekE9PSIsInZhbHVlIjoicXRLMFVuaDJBNVJQc0xFYXg1T256dz09IiwibWFjIjoiM2E4MTA0ZjNhY2NjNzUxMmExZTdhZTljNWJjN2NjNDAwM2I4YjkyZTg0ZmMyOGVjMTMwNjk4OTI5MTRhYjcyYiIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233767";"KOP.TAKA JAYA";"Bekoso, P. Blengkong";"6401030002";"64";"01";"030";"002";"KALIMANTAN TIMUR";"PASER";"PASIR BELENGKONG";"BEKOSO";"eyJpdiI6ImEvanc2dmhwV2JKekhUNHZya0lBbUE9PSIsInZhbHVlIjoiYnl3aUVFZjFXUWpwNFgwREFCQmhzUT09IiwibWFjIjoiMmM5YjljMmRkYmI0YzBiYjM2NTMzY2ZlOGYwMDIzNDQ0NDc2NWEzNzkzMDVhMmU3ZjM4YTU3YzA3ZTk0YTY0YSIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233803";"KPN HIKMAH";"Jl. S. Ibrahim Khaliludin Rt.13 Rw. 04";"6401040003";"64";"01";"040";"003";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TEPIAN BATANG";"eyJpdiI6ImZ3S3E4SFNqSko2SHZzdXlNK0R4cXc9PSIsInZhbHVlIjoiMWhoUm9ndFRZT2IwODE1dmN1VDdTdz09IiwibWFjIjoiODU2NTMwNzlhYzI4YjdjMDcyMmQ1MjM3MjMwYmM0ZTk0Y2Y0MDRlOWVhNWJlZTIzNWU5ZDA1NTJmNWM0MzQ3ZiIsInRhZyI6IiJ9";"Duplikat";"";"";"";"";"2025-01-07";"UB";"";"";"";"invalid";"";"";"False";"False";"False";"";"";"invalid";"";"";""
"233806";"KPN MITRA SEJAHTERA";"SMKN 1 TANAH GROGOT";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IldTa3BBenVnNm14RFQyVUNOa09aMmc9PSIsInZhbHVlIjoicTFEZWEyWk1pSUFkNUNwMkVOMTJwdz09IiwibWFjIjoiYmI1NDk5OWQyY2NkYzgzYzNmMzNlNzFmYjg4ZWU4YzJmYzhmMTJiN2IxZTVmMjUyNmI3ZWQ0ZDY4YTk2ZDFiOSIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: Koperasi, Kategori: K, KBLI: 64141]";"";"";"2024-10-31";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233837";"KOPTAN TANI NUSANTARA";"Ds. Mengkudu, Kec. Tanjung Aru";"6401021003";"64";"01";"021";"003";"KALIMANTAN TIMUR";"PASER";"BATU ENGAU";"MENGKUDU";"eyJpdiI6IlhrdHRSWjlwU01jMXRGZWYvNTB3RFE9PSIsInZhbHVlIjoidkdRTUszMlFBVElRWTFBNVRtaXdtQT09IiwibWFjIjoiNmJiOTk1NzZhOTUzYmQyNzU4YTJlNmM2NmM5MzE0Mzg5MmU4Y2U4ZTI3YTQ3YzNlZWUzM2M1MTBkMGU5NzhlMCIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233838";"KUD MANDUAN";"Ds. Kerang, Kec. Tanjung Aru";"6401021001";"64";"01";"021";"001";"KALIMANTAN TIMUR";"PASER";"BATU ENGAU";"KERANG";"eyJpdiI6IkRhMDlsTExBcHk1Z2hIVUxkd0h6Qmc9PSIsInZhbHVlIjoicXpPK0hBTkdFMWtRYklXZzgyN1Y0Zz09IiwibWFjIjoiOWYwMzNlM2Q2ZjM0OGViMWZlNjhkNzY5YzRiNGFiOGQ1OGE5NTA1Mjc5ZjQ0Y2RhNTBjYzJiOThkZDQyOWRiYyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233839";"KUD HARAPAN MAJU";"UPT Kerang Tampakan II, Kec. Tanjung Aru";"6401021002";"64";"01";"021";"002";"KALIMANTAN TIMUR";"PASER";"BATU ENGAU";"TEMPAKAN";"eyJpdiI6IkJZNEJidFZVQnV3NExERC9yaVowSWc9PSIsInZhbHVlIjoiSS9JZUxzWjB3MnZpQ0RYRmNUMnhZZz09IiwibWFjIjoiMTAzYjNlYTQ2Yzk5ZGFiMDQ5YWYxYjZhNjliMGI0OWM4M2RlMmVlODJlNzg4ZTE5YTk1OTgyZjcwMWRjZDljNyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233813";"KPN AL IKHLAS";"jl sultan ibrahim chaliluddin no. 29";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6InFBOG9HVThIZjNMMDk3ajg0eVdCR1E9PSIsInZhbHVlIjoiOHNmVzd2OXl1azRxVnI5Mktvck9JQT09IiwibWFjIjoiMDM4OTgyYWJlNmIzM2QzMjgyMjA2NjVhODBjYzc3NTIwNmI4MDU5NzY3NDAxMTkzYTRkMTA2M2VmMzdhMjUwNSIsInRhZyI6IiJ9";"Aktif";"";"";"";"";"2025-01-07";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"233832";"Premkopad";"JL NOTO SUNARDI (KODIM TANAH GROGOT)";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IjBwYThOWFAwOFhKWUxpWlQrcitzeXc9PSIsInZhbHVlIjoiRkh1NTM1c0NkVEoyYUt0a05WSHBGdz09IiwibWFjIjoiMWNkMGIwY2Q1YjVmZmU1ZWQ1YjIyZjc4ZTVhOGMzZmY3ZjExZjZjZjQzNDJjOTI0MGFiMjQ2YzNjOWQ2OTBlYyIsInRhZyI6IiJ9";"Duplikat";"";"";"";"";"2025-05-19";"UB";"";"";"";"invalid";"";"";"False";"False";"False";"";"";"invalid";"";"";""
"233835";"KOPKAN HARAPAN KITA";"Ds. Tanjung Aru, Kec. Tanjung Aru";"6401022002";"64";"01";"022";"002";"KALIMANTAN TIMUR";"PASER";"TANJUNG HARAPAN";"TANJUNG ARU";"eyJpdiI6ImZYZlZqNWJBdnlvVGFhanFTcGVpdHc9PSIsInZhbHVlIjoic0xKM2hPMU5rcWJGbnNyaFV6eGQ2dz09IiwibWFjIjoiNmRiNzE5MzViZjFkMmU3OTk2YTgwMmZhYWEzMGZkNDRjM2VjZTYyMTVkMjQzZmFiMmRlOGFkYjJkZjg0ZDdlMyIsInRhZyI6IiJ9";"Tidak Ditemukan";"";"";"";"";"2025-12-15";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"94412688";"PT Adira Dinamika Multi Finance Tbk, Kantor Representative Office Kalimantan";"JL ANDEN OKO";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IjU2SWhGblpEdysxb0pvc1Rob1FQZFE9PSIsInZhbHVlIjoiQy9SQ0ViNzJYdHAwL2twTXk0K3ZXUT09IiwibWFjIjoiYmJkYTYxNzFlYTlhNGQ2OTFiYzZmMzEzNzQxYTlhMjllNTQ2NWQzOTE1MWRjNDU2ZTU3MmVhMmUyZmIxNjEyNCIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: Pembiayaan Konsumen, Sewa Guna Usaha, Pembiayaan  Konsumen  berdasarkan Prinsip  Sy...";"";"";"2025-06-03";"UB";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"94418876";"Bancasurance BNI Life, Kantor Cabang Kalimantan Timur V";"JL RA KARTINI NO 29";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6ImtKb3UzZnFQRTcvWWk0bFpKdmZLT0E9PSIsInZhbHVlIjoiVVRTNjRmZENaMWRjRGk2Y0RYUUpRUT09IiwibWFjIjoiYjQwNjY3ZmE4YTU5ZjFlZTZjZTZhMmI3ZTVjM2VjZDJiNzM5NGY5MGYzNzAwODZlODRkYzg0YWRiMWFmYmFiMiIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: -, Kategori: K, KBLI: 65111]; [Kegiatan Usaha: JASA ASURANSI, Kategori: K, KBLI: 64...";"";"";"2025-05-23";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
"94411723";"Tunas Dwipa Matra, PT Cabang Tanah Grogot";"JL MODANG  TANAH GROGOT";"6401040004";"64";"01";"040";"004";"KALIMANTAN TIMUR";"PASER";"TANAH GROGOT";"TANAH GROGOT";"eyJpdiI6IlpwcFRNd1NaNytlalB5dm5CVHpWb1E9PSIsInZhbHVlIjoiekFCS2pTdmZKMjhWWEFQNlFRNDUwdz09IiwibWFjIjoiMTY1YWY3NjgxMmQzOTYzNWNkNWY0Y2E5NDJmMDg0NWU5NWNlMmRmMTRmZWE2MDQ1MDA4ZDA0MmI2OTUwMzQwMyIsInRhZyI6IiJ9";"Aktif";"";"[Kegiatan Usaha: PENJUALAN SEPEDA MOTOR, Kategori: G, KBLI: 45407]";"";"";"2025-01-30";"UMKM";"";"";"";"invalid";"";"";"False";"False";"True";"";"";"invalid";"";"";""
